INSERT INTO student_details (challan_no, account_no, student_name, father_name, entry_no, degree, department, semester, due_date, admission_fee, tuition_fee, registration_fee, library_security_fee, examination_fee, masjid_fund, science_lab_charges, sports_fund, computer_fund, university_other_funds, processing_fee)
VALUES
('CH28456', 'ACC347586346', 'AHMED ALI', 'ALI RAZA', 'BSEF22M01', 'BS', 'SE', '4th', '2024-12-01', 5000, 10000, 900, 1300, 600, 500, 700, 900, 1200, 450,3500),
('CH28434', 'ACC347586346', 'SANA MEHMOOD', 'MEHMOOD ALI', 'BSEF22M02', 'BS', 'SE', '4th', '2024-12-01', 5100, 10200, 910, 1320, 610, 510, 710, 910, 1220, 460,3500),
('CH49323', 'ACC347586346', 'HADIYA ASLAM', 'ASLAM FAISAL', 'BSEF22M03', 'BS', 'SE', '4th', '2024-12-01', 5200, 10400, 920, 1340, 620, 520, 720, 920, 1240, 470,3500),
('CH37445', 'ACC347586346', 'AHMED KHALID', 'KHALID MOHAMMAD', 'BSEF22M04', 'BS', 'SE', '4th', '2024-12-01', 5300, 10600, 930, 1360, 630, 530, 730, 930, 1260, 480,3500),
('CH28489', 'ACC347586346', 'ALINA SHAH', 'SHAH ABDULLAH', 'BSEF22M05', 'BS', 'SE', '4th', '2024-12-01', 5400, 10800, 940, 1380, 640, 540, 740, 940, 1280, 490,3500),
('CH49315', 'ACC347586346', 'SAJID ALI', 'ALI ZAFAR', 'BSEF22M06', 'BS', 'SE', '4th', '2024-12-01', 5500, 11000, 950, 1400, 650, 550, 750, 950, 1300, 500,3500),
('CH37466', 'ACC347586346', 'KASHIF ABBAS', 'ABBAS SHAUKAT', 'BSEF22M07', 'BS', 'SE', '4th', '2024-12-01', 5600, 11200, 960, 1420, 660, 560, 760, 960, 1320, 510,3500),
('CH28412', 'ACC347586346', 'MAHIRA ASLAM', 'ASLAM MEHMOOD', 'BSEF22M08', 'BS', 'SE', '4th', '2024-12-01', 5700, 11400, 970, 1440, 670, 570, 770, 970, 1340, 520,3500),
('CH49329', 'ACC347586346', 'NADEEM RIAZ', 'RIAZ FARHAN', 'BSEF22M09', 'BS', 'SE', '4th', '2024-12-01', 5800, 11600, 980, 1460, 680, 580, 780, 980, 1360, 530,3500),
('CH37477', 'ACC347586346', 'FATIMA SHEIKH', 'SHEIKH JAVED', 'BSEF22M10', 'BS', 'SE', '4th', '2024-12-01', 5900, 11800, 990, 1480, 690, 590, 790, 990, 1380, 540,3500),
('CH28444', 'ACC347586346', 'IMRAN KHAN', 'KHAN MAHMOOD', 'BSEF22M11', 'BS', 'SE', '4th', '2024-12-01', 6000, 12000, 1000, 1500, 700, 600, 800, 1000, 1400, 550,3500),
('CH49318', 'ACC347586346', 'SARAH REHMAN', 'REHMAN ASIF', 'BSEF22M12', 'BS', 'SE', '4th', '2024-12-01', 6100, 12200, 1010, 1520, 710, 610, 810, 1010, 1420, 560,3500),
('CH37489', 'ACC347586346', 'ALI MUNIR', 'MUNIR FAHAD', 'BSEF22M13', 'BS', 'SE', '4th', '2024-12-01', 6200, 12400, 1020, 1540, 720, 620, 820, 1020, 1440, 570,3500),
('CH28435', 'ACC347586346', 'NURUL ISLAM', 'ISLAM KHALID', 'BSEF22M14', 'BS', 'SE', '4th', '2024-12-01', 6300, 12600, 1030, 1560, 730, 630, 830, 1030, 1460, 580,3500),
('CH49334', 'ACC347586346', 'ALINA SHAHID', 'SHAHID RASHID', 'BSEF22M15', 'BS', 'SE', '4th', '2024-12-01', 6400, 12800, 1040, 1580, 740, 640, 840, 1040, 1480, 590,3500),
